회사명,회계년도,거래소코드
리노공업,2013,058470
리더스 기술투자,2016,019570
리더스 기술투자,2017,019570
리더스 기술투자,2019,019570
리더스코스메틱,2011,016100
리더스코스메틱,2015,016100
링크제니시스,2018,219420
마이크로컨텍솔,2011,098120
마이크로컨텍솔,2018,098120
마크로젠,2015,038290
매일홀딩스,2016,005990
매일홀딩스,2017,005990
매직마이크로,2017,127160
매직마이크로,2018,127160
매직마이크로,2019,127160
멀티캠퍼스,2013,067280
멀티캠퍼스,2015,067280
메가스터디,2014,072870
메가스터디,2015,072870
메가스터디,2018,072870
메가스터디교육,2018,215200
메디아나,2016,041920
메디콕스,2011,054180
메디콕스,2012,054180
메디콕스,2018,054180
메디포스트,2017,078160
메디포스트,2019,078160
메이슨캐피탈,2012,021880
메이슨캐피탈,2014,021880
메이슨캐피탈,2015,021880
메이슨캐피탈,2017,021880
메지온,2014,140410
메타바이오메드,2011,059210
모다이노칩,2016,080420
모다이노칩,2019,080420
모두투어,2012,080160
모두투어,2014,080160
모두투어,2017,080160
모베이스,2011,101330
모베이스,2013,101330
모베이스,2015,101330
모베이스,2017,101330
모베이스,2018,101330
모아텍,2015,033200
모아텍,2017,033200
모트렉스,2018,118990
모헨즈,2012,006920
미래에셋벤처투자,2019,100790
미래컴퍼니,2011,049950
미래컴퍼니,2012,049950
미코,2015,059090
미코바이오메드,2016,214610
미코바이오메드,2017,214610
민앤지,2017,214180
민앤지,2018,214180
바른손,2012,018700
바른손,2013,018700
바른손,2015,018700
바른손,2016,018700
바른손,2019,018700
바른손이앤에이,2015,035620
바른전자,2015,064520
바른전자,2018,064521
바른전자,2019,064522
바이넥스,2011,053030
바이오니아,2014,064550
바이온 IR,2012,032980
바이온 IR,2013,032980
바이온 IR,2015,032980
바이온 IR,2016,032980
바이온 IR,2018,032980
버킷스튜디오,2011,066410
버킷스튜디오,2018,066410
베뉴지 IR,2014,019010
베뉴지 IR,2018,019011
베뉴지 IR,2019,019012
베셀,2016,177350
보광산업,2016,225530
보라티알,2018,250000
본느,2018,226340
부방,2013,014470
부방,2015,014470
부방,2016,014470
부방,2019,014470
부스타,2016,008470
부스타,2017,008470
뷰웍스,2011,100120
브리지텍,2013,064480
브이원텍,2019,251630
브이티지엠피,2012,018290
브이티지엠피,2015,018290
브이티지엠피,2016,018290
브이티지엠피,2019,018290
블루베리 NFT,2018,044480
블루콤,2014,033560
비덴트,2012,121800
비덴트,2017,121800
비덴트,2019,121800
비디아이,2018,148140
비디아이,2019,148140
비보존 헬스케어,2019,082800
비씨월드제약,2018,200780
비에이치,2017,090460
비에이치아이,2015,083650
비엘,2017,142760
비엘팜텍,2012,065170
비엘팜텍,2019,065170
비엠티,2011,086670
비츠로셀,2017,082920
비츠로셀,2018,082920
비츠로셀,2019,082920
비츠로시스,2012,054220
비츠로시스,2014,054220
비츠로시스,2018,054220
비츠로시스,2019,054220
비츠로테크,2017,042370
비케이홀딩스,2014,050090
비케이홀딩스,2019,050090
비트컴퓨터,2012,032850
비플라이소프트,2018,148780
빅솔론,2011,093190
빅솔론,2017,093190
빅텍,2019,065450
빛샘전자,2014,072950
빛샘전자,2016,072950
삼강엠앤티,2012,100090
삼륭물산,2017,014970
삼목에스폼,2013,018310
삼보산업,2013,009620
삼보산업,2017,009621
삼보산업,2019,009622
삼보판지,2013,023600
삼보판지,2019,023600
삼아제약,2012,009300
삼영엠텍,2016,054540
삼영엠텍,2018,054540
삼영이엔씨,2019,065570
삼일기업공사,2014,002290
삼진엘앤디,2014,054090
삼표시멘트,2012,038500
삼표시멘트,2013,038500
삼표시멘트,2014,038500
삼표시멘트,2015,038500
삼현철강,2013,017480
삼화네트웍스,2011,046390
삼화네트웍스,2019,046390
상보,2015,027580
상상인 IR,2016,038540
상상인 IR,2019,038540
상상인인더스트리,2016,101000
상상인인더스트리,2017,101000
상상인인더스트리,2018,101000
상신이디피,2011,091580
상신전자,2018,263810
상신전자,2019,263810
상지카일룸 IR,2012,042940
상지카일룸 IR,2013,042940
상지카일룸 IR,2015,042940
상지카일룸 IR,2016,042940
상지카일룸 IR,2017,042940
상지카일룸 IR,2018,042940
새로닉스,2013,042600
서부T&D,2011,006730
서부T&D,2013,006730
서부T&D,2017,006730
서산,2012,079650
서산,2016,079650
서산,2018,079650
서연탑메탈,2018,019770
서울리거,2011,043710
서울리거,2014,043710
서울리거,2016,043710
서울제약,2017,018680
서전기전 IR,2018,189860
서진시스템,2018,178320
서플러스글로벌,2018,140070
서한,2012,011370
서호전기,2019,065710
서희건설,2013,035890
서희건설,2014,035890
서희건설,2017,035890
선광,2014,003100
선광,2015,003100
선광,2018,003100
선익시스템,2018,171090
성우전자,2012,081580
성우하이텍,2011,015750
성우하이텍,2014,015750
성창오토텍,2012,080470
세경하이테크,2019,148150
세동,2013,053060
세동,2014,053060
세원물산,2015,024830
세원물산,2018,024830
세원물산,2019,024830
세종텔레콤,2011,036630
세종텔레콤,2014,036630
세코닉스,2015,053450
세화피앤씨,2017,252500
셀루메드,2013,049180
셀루메드,2014,049180
셀루메드,2015,049180
셀루메드,2016,049180
셀루메드,2017,049180
셀루메드,2019,049180
셀바스AI,2012,108860
셀바스AI,2019,108860
셀트리온제약,2013,068760
셀트리온제약,2015,068760
소니드,2011,060230
소니드,2012,060230
소니드,2013,060230
소니드,2018,060230
