회사명,회계년도,거래소코드
한국특강,2018,007280
한국항공우주,2017,047810
한독,2013,002390
한독,2014,002390
한라,2011,014790
한라,2013,014791
한라,2014,014792
한라,2015,014793
한라,2018,014794
한라,2019,014795
한라홀딩스,2014,060980
한라홀딩스,2015,060980
한라홀딩스,2018,060980
한라홀딩스,2019,060980
한미반도체,2018,042700
한세실업,2011,105630
한세엠케이,2013,069640
한세예스24홀딩스,2013,016450
한솔로지스틱스,2013,009180
한솔로지스틱스,2015,009180
한솔로지스틱스,2017,009180
한솔제지,2016,213500
한솔제지,2019,213500
한솔피엔에스,2013,010420
한솔피엔에스,2016,010420
한솔피엔에스,2018,010420
한솔홀딩스,2013,004150
한솔홀딩스,2014,004150
한솔홀딩스,2015,004150
한솔홀딩스,2019,004150
한신공영,2011,004960
한신공영,2013,004960
한신공영,2014,004960
한신공영,2015,004960
한신공영,2016,004960
한온시스템,2018,018880
한일현대시멘트,2011,006390
한일현대시멘트,2012,006390
한일현대시멘트,2014,006390
한일현대시멘트,2015,006390
한일홀딩스,2012,003300
한일홀딩스,2017,003301
한일홀딩스,2018,003302
한전산업,2015,130660
한전산업,2019,130660
한창,2011,005110
한창제지,2012,009460
한창제지,2013,009460
한창제지,2019,009460
해태제과식품,2016,101530
해태제과식품,2017,101530
핸즈코퍼레이션,2019,143210
혜인,2014,003010
화성산업,2011,002460
화승엔터프라이즈,2018,241590
화승인더스트리,2014,006060
후성,2013,093370
후성,2014,093370
휠라홀딩스,2015,081660
휴비스,2019,079980
휴스틸,2013,005010
흥국화재,2011,000540
흥아해운,2019,003280
AK홀딩스,2012,006840
AK홀딩스,2014,006840
AK홀딩스,2015,006840
AK홀딩스,2018,006840
AK홀딩스,2019,006840
BGF,2016,027410
BGF,2017,027410
BGF,2018,027410
BNK금융지주,2018,138930
DB,2014,012030
DB금융투자,2011,016610
DN오토모티브,2017,007340
DRB동일,2012,004840
DRB동일,2016,004840
DRB동일,2017,004840
DRB동일,2018,004840
DRB동일,2019,004840
F&F 홀딩스,2011,007700
F&F 홀딩스,2012,007700
F&F 홀딩스,2016,007700
HDC랩스,2017,039570
HJ중공업,2011,097230
HJ중공업,2013,097230
HJ중공업,2015,097230
HJ중공업,2016,097230
HJ중공업,2019,097230
HLB글로벌,2016,003580
HMM,2016,011200
HMM,2017,011200
HMM,2018,011200
HSD엔진,2016,082740
HSD엔진,2018,082740
JB금융지주,2018,175330
KC그린홀딩스,2018,009440
KC코트렐,2012,119650
KEC,2013,092220
KG스틸,2012,016380
KG스틸,2014,016380
KG스틸,2015,016380
KG스틸,2016,016380
KG스틸,2017,016380
KG스틸,2019,016380
KG케미칼,2012,001390
KISCO홀딩스,2019,001940
KPX홀딩스,2016,001940
KPX홀딩스,2017,092230
KPX홀딩스,2018,092230
KPX홀딩스,2019,092230
KR모터스,2014,000040
KR모터스,2016,000040
KR모터스,2017,000040
KR모터스,2019,000040
KSS해운,2016,044450
KTcs,2019,058850
KTis,2015,058860
LIG넥스원,2017,079550
LIG넥스원,2018,079550
LX하우시스,2012,108670
NH투자증권,2014,005940
OCI,2016,010060
SBS,2011,034120
SG글로벌,2014,001380
SGC에너지,2012,005090
SGC에너지,2018,005090
SH에너지화학,2017,002360
SH에너지화학,2019,002360
SIMPAC,2018,009160
SKC IR,2014,011790
SPC삼립,2011,005610
STX,2013,011810
STX,2014,011810
STX,2016,011810
STX,2017,011810
STX엔진,2013,077970
STX엔진,2014,077970
STX엔진,2015,077970
STX엔진,2019,077970
STX중공업,2012,071970
STX중공업,2013,071970
STX중공업,2014,071970
STX중공업,2015,071970
STX중공업,2016,071970
STX중공업,2017,071970
STX중공업,2018,071970
SUN&L,2019,002820
TCC스틸,2015,002710
TYM IR,2018,002900
